Index_client;sexe;Age;Présence_enfant;Présence_conduite_accompagnee;Tranche_revenus;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;intervalle_devis
1;F;26;Oui;Non;[100k+€];Commercial;Sports Car;0;7.0;Highly Urban/ Urban;25/02/2022 16:13;complet;[250-500€]
2;F;93;Oui;Oui;[40k-60k€];Private;Minivan;2;1.0;Highly Urban/ Urban;24/05/2022 21:07;complet;[250-500€]
3;F;47;Oui;Non;[20k-40k€];Private;Pickup;0;4.0;z_Highly Rural/ Rural;24/01/2022 08:17;complet;[250-500€]
4;F;4;Non;Non;[0-20k€];Private;z_SUV;3;5.0;Highly Urban/ Urban;20/04/2022 03:46;complet;[250-500€]
6;F;33;Oui;Non;[60k-80k€];Private;z_SUV;2;15.0;z_Highly Rural/ Rural;23/03/2022 22:20;complet;[250-500€]
7;F;84;Oui;Oui;[100k+€];Commercial;Minivan;0;9.0;z_Highly Rural/ Rural;13/03/2022 01:10;complet;[250-500€]
8;M;69;Non;Non;[40k-60k€];Private;z_SUV;1;10.0;Highly Urban/ Urban;09/03/2022 03:43;complet;[250-500€]
9;M;69;Non;Non;[100k+€];Private;Minivan;0;14.0;Highly Urban/ Urban;29/01/2022 10:17;complet;[250-500€]
11;F;58;Oui;Oui;[20k-40k€];Private;Minivan;0;10.0;Highly Urban/ Urban;26/05/2022 05:51;complet;[250-500€]
12;M;8;Oui;Non;[20k-40k€];Private;z_SUV;0;1.0;Highly Urban/ Urban;27/01/2022 09:33;complet;[250-500€]
13;F;75;Non;Non;[60k-80k€];Private;z_SUV;0;18.0;Highly Urban/ Urban;08/05/2022 13:32;complet;[250-500€]
14;M;8;Non;Non;[0-20k€];Commercial;Van;5;6.0;z_Highly Rural/ Rural;02/05/2022 08:44;complet;[250-500€]
15;M;80;Oui;Non;[20k-40k€];Private;Minivan;0;1.0;Highly Urban/ Urban;15/04/2022 13:09;complet;[250-500€]
16;M;87;Non;Non;[40k-60k€];Private;Minivan;0;13.0;Highly Urban/ Urban;11/05/2022 02:24;complet;[250-500€]
17;F;52;Non;Non;[100k+€];Private;z_SUV;0;15.0;Highly Urban/ Urban;12/04/2022 01:20;complet;[250-500€]
18;F;89;Non;Non;[40k-60k€];Commercial;Van;1;8.0;Highly Urban/ Urban;04/03/2022 09:15;complet;[250-500€]
19;F;70;Non;Non;[60k-80k€];Private;Minivan;0;11.0;Highly Urban/ Urban;05/02/2022 17:39;complet;[250-500€]
20;F;85;Non;Non;[40k-60k€];Private;z_SUV;0;10.0;Highly Urban/ Urban;25/04/2022 14:43;complet;[250-500€]
21;M;37;Oui;Non;[60k-80k€];Private;Minivan;0;16.0;z_Highly Rural/ Rural;20/03/2022 03:44;complet;[250-500€]
22;M;94;Oui;Oui;[20k-40k€];Private;Minivan;1;0;Highly Urban/ Urban;27/03/2022 09:22;complet;[250-500€]
24;F;84;Oui;Non;[40k-60k€];Commercial;Sports Car;5;1.0;Highly Urban/ Urban;06/02/2022 07:52;complet;[250-500€]
25;M;21;Non;Non;[20k-40k€];Commercial;Pickup;1;1.0;Highly Urban/ Urban;27/04/2022 15:06;complet;[250-500€]
27;F;27;Non;Non;[40k-60k€];Private;Sports Car;0;1.0;z_Highly Rural/ Rural;22/03/2022 13:32;complet;[250-500€]
28;F;47;Non;Non;[60k-80k€];Private;z_SUV;5;0;Highly Urban/ Urban;22/04/2022 03:39;complet;[250-500€]
29;F;56;Non;Non;[40k-60k€];Private;z_SUV;0;1.0;Highly Urban/ Urban;23/03/2022 22:44;complet;[750-1000€]
30;F;19;Non;Non;[100k+€];Private;z_SUV;0;17.0;Highly Urban/ Urban;12/02/2022 20:23;complet;[250-500€]
31;F;51;Oui;Non;[20k-40k€];Private;z_SUV;0;1.0;Highly Urban/ Urban;14/01/2022 07:11;complet;[250-500€]
32;M;41;Oui;Non;[20k-40k€];Commercial;Minivan;6;5.0;z_Highly Rural/ Rural;09/04/2022 11:49;complet;[250-500€]
33;F;68;Non;Non;[100k+€];Private;z_SUV;3;9.0;Highly Urban/ Urban;23/03/2022 06:12;complet;[250-500€]
34;M;7;Non;Non;[20k-40k€];Private;z_SUV;2;6.0;z_Highly Rural/ Rural;04/02/2022 17:14;complet;[250-500€]
35;M;47;Oui;Oui;[60k-80k€];Private;Sports Car;0;12.0;Highly Urban/ Urban;05/02/2022 18:50;complet;[250-500€]
36;F;71;Non;Non;[20k-40k€];Private;z_SUV;0;9.0;Highly Urban/ Urban;08/02/2022 09:59;complet;[250-500€]
37;F;64;Non;Non;[20k-40k€];Commercial;Sports Car;0;15.0;Highly Urban/ Urban;06/02/2022 22:30;complet;[250-500€]
38;F;9;Oui;Non;[80k-100k€];Private;z_SUV;2;14.0;Highly Urban/ Urban;09/02/2022 14:28;complet;[250-500€]
39;F;58;Non;Non;[100k+€];Private;Minivan;0;15.0;Highly Urban/ Urban;26/05/2022 21:39;complet;[250-500€]
40;M;37;Non;Non;[40k-60k€];Private;z_SUV;1;11.0;z_Highly Rural/ Rural;04/03/2022 15:36;complet;[250-500€]
42;F;88;Oui;Non;[0-20k€];Private;z_SUV;5;8.0;Highly Urban/ Urban;30/04/2022 23:20;complet;[250-500€]
43;M;62;Oui;Non;[0-20k€];Commercial;Pickup;0;10.0;Highly Urban/ Urban;20/03/2022 04:00;complet;[250-500€]
44;F;60;Oui;Oui;[40k-60k€];Private;Pickup;0;0;Highly Urban/ Urban;02/04/2022 11:25;complet;[250-500€]
45;M;55;Non;Non;[60k-80k€];Private;z_SUV;0;13.0;Highly Urban/ Urban;02/01/2022 20:05;complet;[250-500€]
46;F;68;Non;Non;[80k-100k€];Private;z_SUV;4;15.0;Highly Urban/ Urban;24/02/2022 21:52;complet;[250-500€]
47;M;79;Oui;Non;[0-20k€];Private;z_SUV;1;1.0;Highly Urban/ Urban;05/04/2022 02:47;complet;[250-500€]
48;F;44;Non;Non;[100k+€];Commercial;Panel Truck;1;13.0;Highly Urban/ Urban;21/02/2022 11:50;complet;[250-500€]
49;M;80;Non;Non;[80k-100k€];Commercial;Van;0;7.0;Highly Urban/ Urban;21/03/2022 00:37;complet;[250-500€]
50;F;41;Oui;Oui;[40k-60k€];Private;Van;1;1.0;z_Highly Rural/ Rural;03/04/2022 12:30;complet;[250-500€]
51;F;27;Non;Non;[20k-40k€];Commercial;Pickup;7;1.0;Highly Urban/ Urban;28/03/2022 23:57;complet;[250-500€]
52;F;51;Oui;Non;[40k-60k€];Private;Minivan;1;5.0;Highly Urban/ Urban;21/03/2022 07:59;complet;[250-500€]
53;M;22;Non;Non;[100k+€];Private;Minivan;0;7.0;Highly Urban/ Urban;23/05/2022 09:33;complet;[250-500€]
54;F;50;Non;Non;[40k-60k€];Private;Sports Car;0;19.0;Highly Urban/ Urban;03/05/2022 20:20;complet;[250-500€]
55;F;9;Non;Non;[60k-80k€];Commercial;Minivan;5;8.0;z_Highly Rural/ Rural;11/04/2022 14:51;complet;[250-500€]
56;M;51;Non;Non;[60k-80k€];Private;Van;0;13.0;Highly Urban/ Urban;05/01/2022 09:29;complet;[250-500€]
